user_type,ride_count,min_seconds,min_minutes,max_seconds,max_minutes,avg_seconds,avg_minutes
Customer,356751,60,1.0,86340,1439.0,1823.5782941043126,30.392971568405208
Subscriber,403036,60,1.0,85860,1431.0,721.90702567510073,12.031783761251679
